title,objectid,filename,creator,contribution,publication,publisher,placeofpub,date,description,annotation,controlled-vocab,subject,page,issue,latitude,longitude,collection,identifier,format-original,type,format,language,rights,rightsstatement
American Heritage History of Business and Industry,American-Heritage-History-of-Business-and-Industry,,Alvin Josephy Jr. (ed),editor,,American Heritage Publishing. Co.,"New York, NY",1972,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",American-Heritage-History-of-Business-and-Industry,book edited,record,listing,eng,,
The American Heritage History of Flight,The-American-Heritage-History-of-Flight,,Alvin Josephy Jr. (ed),editor,,American Heritage Publishing. Co.,"New York, NY",1963,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-American-Heritage-History-of-Flight,book edited,record,listing,eng,,
The American Heritage History of the Great West,The-American-Heritage-History-of-the-Great-West,https://catalog.sage.eou.edu/eg/opac/record/127817,Alvin Josephy Jr. (ed),editor,,American Heritage Publishing. Co.,"New York, NY",1965,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-American-Heritage-History-of-the-Great-West,book edited,record,url,eng,,
The American Heritage History of World War I,The-American-Heritage-History-of-World-War-I,https://catalog.sage.eou.edu/eg/opac/record/127817,Alvin Josephy Jr. (ed),editor,,American Heritage Publishing. Co.,"New York, NY",1964,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-American-Heritage-History-of-World-War-I,book edited,record,url,eng,,
"Biography Series of American Indians [Sitting Bull, Hiawatha, Geronimo, Tecumseh, Sequoyah, and King Phillip]",Biography-Series-of-American-Indians-Sitting-Bull-Hiawatha-Geronimo-Tecumseh-Sequoyah-and-King-Phillip-,,Alvin Josephy Jr. (ed),editor,,Burdett Press,"Englewood Cliffs, NJ",1989,"Note: includes volumes on Sitting Bull, Hiawatha, Geronimo, Tecumseh, Sequoyah, and King Phillip",,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Biography-Series-of-American-Indians-Sitting-Bull-Hiawatha-Geronimo-Tecumseh-Sequoyah-and-King-Phillip-,book edited,record,listing,eng,,
The Birth of the National Park Service Vol. 2,The-Birth-of-the-National-Park-Service-Vol-2,https://catalog.sage.eou.edu/eg/opac/record/127817,Alvin Josephy Jr. (ed),editor,,Institute of American West Books,,1985,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Birth-of-the-National-Park-Service-Vol-2,book edited,record,url,eng,,
The Horizon History of Africa,The-Horizon-History-of-Africa,,Alvin Josephy Jr. (ed),editor,,American Heritage Publishing Co.,"New York, NY",1971,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Horizon-History-of-Africa,book edited,record,listing,eng,,
The Horizon History of Vanishing Primitive Man,The-Horizon-History-of-Vanishing-Primitive-Man,https://catalog.sage.eou.edu/eg/opac/record/127817,Alvin Josephy Jr. (ed),editor,,American Heritage Publishing Co.,"New York, NY",1973,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Horizon-History-of-Vanishing-Primitive-Man,book edited,record,url,eng,,
The Law in America,The-Law-in-America,https://catalog.sage.eou.edu/eg/opac/record/1393634,Alvin Josephy Jr. (ed),editor,,American Heritage Publishing Co.,"New York, NY",1974,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Law-in-America,book edited,record,url,eng,,
Lewis and Clark Through Indian Eyes,Lewis-and-Clark-Through-Indian-Eyes,,Alvin Josephy Jr. (ed),editor,,Vintage Books,"New York, NY",2007,Note: edited by AJ with Marc Jaffe,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Lewis-and-Clark-Through-Indian-Eyes,book edited,record,listing,eng,,
The Pictorial History of the American Indian,The-Pictorial-History-of-the-American-Indian,https://catalog.sage.eou.edu/eg/opac/record/1559342,Alvin Josephy Jr. (ed);Oliver LaFarge,editor,,Crown Publishers,"New York, NY",1974,"Note: (rewrote entire text for a revised, updated edition, AJ)","This popular book was originally published in 1956; AMJ revised. It does not deal with South America, minimally with Central America, concentrates on North America. Richly illustrated. My recollection is that AMJ did extensive rewrites.",Native American—American Indian (general),,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Pictorial-History-of-the-American-Indian,book edited,record,url,eng,,
RFK: His Life and Death,RFK-His-Life-and-Death,https://catalog.sage.eou.edu/eg/opac/record/48515,Alvin Josephy Jr. (ed),editor,,Dell Publishing,"New York, NY",1968,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",RFK-His-Life-and-Death,book edited,record,url,eng,,
The American Heritage Book of Natural Wonders,The-American-Heritage-Book-of-Natural-Wonders,https://catalog.sage.eou.edu/eg/opac/record/48515,Alvin Josephy Jr.,editor;co-author,,American Heritage Publishing. Co.,"New York, NY",1963,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-American-Heritage-Book-of-Natural-Wonders,book edited,record,url,eng,,
American Heritage Book of the Pioneer Spirit,American-Heritage-Book-of-the-Pioneer-Spirit,,Alvin Josephy Jr.,editor;co-author,,American Heritage Publishing. Co.,"New York, NY",1959,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",American-Heritage-Book-of-the-Pioneer-Spirit,book edited,record,listing,eng,,
The American Heritage Pictorial Atlas of United States History,The-American-Heritage-Pictorial-Atlas-of-United-States-History,https://catalog.sage.eou.edu/eg/opac/record/127817,Alvin Josephy Jr.,editor;co-author,,American Heritage Publishing. Co.,"New York, NY",1966,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-American-Heritage-Pictorial-Atlas-of-United-States-History,book edited,record,url,eng,,
America in 1492: the World of the Indian Peoples Before the Arrival of Columbus,America-in-1492-the-World-of-the-Indian-Peoples-Before-the-Arrival-of-Columbus,,Frederick E. Hoxie (ed); Alvin Josephy Jr. (ed),editor;introduction,,Knopf,"New York, NY",1992,Note: developed by Frederick E. Hoxie ,"The book was published for the 500th anniversary of Columbus’s landing in the New World. AMJ explains the Euro-centrism that drove the European explorers and settlers. Part One examines the peoples of 1492; Part Two American Civilization, 1492. Different scholars write of regions of the Americas in Part One and the languages, religions, and art of the peoples in Part Two.",Native American—American Indian (general),,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",America-in-1492-the-World-of-the-Indian-Peoples-Before-the-Arrival-of-Columbus,book edited,record,listing,eng,,
Indian Self-Rule,Indian-Self-Rule,,Kenneth R. Philp (ed),forward,,Howe Brothers,"Salt Lake City, UT",1987,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Indian-Self-Rule,book forward,record,listing,eng,,
Indians of the Pacific Northwest,Indians-of-the-Pacific-Northwest,,Robert H. Ruby and John A. Brown,forward,,University of Oklahoma Press,"Norman, OK",1981,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Indians-of-the-Pacific-Northwest,book forward,record,listing,eng,,
Wounded Knee: A Personal Account,Wounded-Knee-A-Personal-Account,https://catalog.sage.eou.edu/eg/opac/record/1559342,Stanley David Lyman,forward,,University of Nebraska Press,"Lincoln,Nebraska",1991,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Wounded-Knee-A-Personal-Account,book forward,record,url,eng,,
Indian Water Policy in a Changing Environment,Indian-Water-Policy-in-a-Changing-Environment,,,forward,,"The American Indian Lawyer Training Program, Inc.","Oakland, CA",1982,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Indian-Water-Policy-in-a-Changing-Environment,book forward,record,listing,eng,,
Headed Upstream: Interviews with Iconoclasts,Headed-Upstream-Interviews-with-Iconoclasts,,Jack Loffler,interviewee,,Herbinger House Inc.,"Tucson, AZ",1989,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Headed-Upstream-Interviews-with-Iconoclasts,interview,record,listing,eng,,
American Heritage Guide to Natural Wonders of America,American-Heritage-Guide-to-Natural-Wonders-of-America,,,introduction,,American Heritage Publishing. Co.,"New York, NY",1972,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",American-Heritage-Guide-to-Natural-Wonders-of-America,book introduction,record,listing,eng,,
"As Days Go By: Our History, Our Land, and Our People: The Cayuse, Umatilla, and Walla Walla",As-Days-Go-By-Our-History-Our-Land-and-Our-People-The-Cayuse-Umatilla-and-Walla-Walla,,Jennifer Carson (ed),introduction,,Oregon Historical Society Press,"Portland, OR",2006,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",As-Days-Go-By-Our-History-Our-Land-and-Our-People-The-Cayuse-Umatilla-and-Walla-Walla,book introduction,record,listing,eng,,
Gift of Power: The Life and Teachings of a Lakota Medicine Man,Gift-of-Power-The-Life-and-Teachings-of-a-Lakota-Medicine-Man,,,introduction,,Bean & Co. Inc.,"Santa Fe, NM",1992,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Gift-of-Power-The-Life-and-Teachings-of-a-Lakota-Medicine-Man,book introduction,record,listing,eng,,
The Native Americans: An Illustrated History of North American Indians,The-Native-Americans-An-Illustrated-History-of-North-American-Indians,https://catalog.sage.eou.edu/eg/opac/record/1393634,,introduction,,Turner Publishing,"Atlanta, GA",1991,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Native-Americans-An-Illustrated-History-of-North-American-Indians,book,record,url,eng,,
The New Encyclopedia of the American West,The-New-Encyclopedia-of-the-American-West,https://catalog.sage.eou.edu/eg/opac/record/1393634,,introduction,,Yale University Press,"New Haven, CT",1998,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-New-Encyclopedia-of-the-American-West,book,record,url,eng,,
Oregon Trail,Oregon-Trail,https://catalog.sage.eou.edu/eg/opac/record/48515,,introduction,,Bantam Books,"New York, NY",1966,Note: introductory Essay on Francis Parkman,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Oregon-Trail,book,record,url,eng,,
Portfolio of 19th Century David F. Barry Photographs of Sioux and Other Indians,Portfolio-of-19th-Century-David-F-Barry-Photographs-of-Sioux-and-Other-Indians,https://catalog.sage.eou.edu/eg/opac/record/48515,Paul Harbaugh,introduction,,Paul Harbaugh,"Denver, CO",1982-02-01,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Portfolio-of-19th-Century-David-F-Barry-Photographs-of-Sioux-and-Other-Indians,book,record,url,eng,,
Sitting Bull and the Battle of the Little Bighorn,Sitting-Bull-and-the-Battle-of-the-Little-Bighorn,https://catalog.sage.eou.edu/eg/opac/record/48515,Shelia F. Black,introduction,,Silver Burdett Press,"Englewood Cliffs, NJ",1989,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Sitting-Bull-and-the-Battle-of-the-Little-Bighorn,book,record,url,eng,,
The World Almanac of the American West,The-World-Almanac-of-the-American-West,https://catalog.sage.eou.edu/eg/opac/record/1559342,John S. Bowman (ed),introduction,,World Almanac,,1986,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-World-Almanac-of-the-American-West,book,record,url,eng,,
Distortions of Indian History,Distortions-of-Indian-History,,Roxanne Dunbar Ortiz (ed),item:  'Distortions of Indian History',The Great Sioux Nation: Sitting in Judgment on America,University of Nebraska Press,"Lincoln, NE",2013,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Distortions-of-Indian-History,book chapter/contribution,record,listing,eng,,
Banzi on Guam,Banzi-on-Guam,,,item: 'Banzi on Guam',Combat Pacific Theater World War II,Dell Publishing,"New York, NY",1958-12-01,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Banzi-on-Guam,book chapter/contribution,record,listing,eng,,
Concise History of United States-Sioux Relations,Concise-History-of-United-States-Sioux-Relations,,Roxanne Dunbar Ortiz (ed),item: 'Concise History of United States-Sioux Relations',,Moon Books,"Berkley, CA",1977,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Concise-History-of-United-States-Sioux-Relations,book chapter/contribution,record,listing,eng,,
Geronimo: An Estimate' in The American Biographical Encyclopedia,Geronimo-An-Estimate-in-The-American-Biographical-Encyclopedia,,,item: 'Geronimo: An Estimate',The Great Sioux Nation: Sitting in Judgment on America,Harper & Roe,"New York, NY",1971,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Geronimo-An-Estimate-in-The-American-Biographical-Encyclopedia,book chapter/contribution,record,listing,eng,,
Indians and Whites: The English Colonies,Indians-and-Whites-The-English-Colonies,,,item: 'Indians and Whites: The English Colonies,History of the United States,Orbis Publishing Co.,London,1972-06-01,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Indians-and-Whites-The-English-Colonies,book chapter/contribution,record,listing,eng,,
Indians in History,Indians-in-History,,,item: 'Indians in History',Annual Editions: Readings in American History,"The Dushkin Publishing Group, Inc.","Guilford, CT",1972,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Indians-in-History,book chapter/contribution,record,listing,eng,,
Modern America and the Indian,Modern-America-and-the-Indian,,,item: 'Modern America and the Indian',Indians in American History,Harlan Davidson Inc.,"Arlington Heights, IL",1988,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Modern-America-and-the-Indian,book chapter/contribution,record,listing,eng,,
New England Indians: Then and Now,New-England-Indians-Then-and-Now,,,item: 'New England Indians: Then and Now',The Pequots in Southern New England,University of Oklahoma Press,"Norman, OK",1993,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",New-England-Indians-Then-and-Now,book chapter/contribution,record,listing,eng,,
The American Indian and Freedom of Religion: An Historic Appraisal,The-American-Indian-and-Freedom-of-Religion-An-Historic-Appraisal,,David H. Stratton and George A. Frykman (eds),item: 'The American Indian and Freedom of Religion: An Historic Appraisal',The Changing Pacific Northwest,Washington State University Press,"Pullman, WA",1988,"Note: written for the Washington State University Pettyjohn Distinguished Lecture, October 27, 1982",,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-American-Indian-and-Freedom-of-Religion-An-Historic-Appraisal,book chapter/contribution,record,listing,eng,,
The American Indians,The-American-Indians,,,item: 'The American Indians',Colliers Encyclopedia,Colliers,,1963,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-American-Indians,book chapter/contribution,record,listing,eng,,
The Continuity Between the Old West and the New,The-Continuity-Between-the-Old-West-and-the-New,,,item: 'The Continuity Between the Old West and the New',"Proceedings of the American Antiquarian Society: A Journal of American History and Culture through 1876 Vol. 101, Part 1",American Antiquarian Society,"Worcester, MA",1991,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Continuity-Between-the-Old-West-and-the-New,book chapter/contribution,record,listing,eng,,
The Last Stand of Chief Joseph,The-Last-Stand-of-Chief-Joseph,,,item: 'The Last Stand of Chief Joseph',The Sweep of American History Vol. II,"John Wiley & Sons, Inc.",,1974,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Last-Stand-of-Chief-Joseph,book chapter/contribution,record,listing,eng,,
The Murder of the Southwest,The-Murder-of-the-Southwest,,Les Line(ed),item: 'The Murder of the Southwest',What We Save Now,Houghton Mifflin Co.,Boston,1973,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Murder-of-the-Southwest,book chapter/contribution,record,listing,eng,,
The Poet Beyond Black Elk,The-Poet-Beyond-Black-Elk,,Vine Deloria Jr.,item: 'The Poet Beyond Black Elk',A Sender of Words,Howe Brothers,"Salt Lake City, UT",1984,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Poet-Beyond-Black-Elk,book chapter/contribution,record,listing,eng,,
The Walla Walla Council of 1855,The-Walla-Walla-Council-of-1855,,,item: 'The Walla Walla Council of 1855',The Western American Indian: Case Studies in Tribal History,University of Nebraska Press,"Lincoln,Nebraska",1972,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Walla-Walla-Council-of-1855,book chapter/contribution,record,listing,eng,,
They Died with Their Boots On,They-Died-with-Their-Boots-On,,,item: 'They Died with Their Boots On',Past Imperfect: History According to the Movies,Henry Holt & Co.,,1995,Note: in A Society of American Historical Books,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",They-Died-with-Their-Boots-On,book chapter/contribution,record,listing,eng,,
Toward Freedom: The American Indian in the Twentieth Century,Toward-Freedom-The-American-Indian-in-the-Twentieth-Century,,,item: 'Toward Freedom: The American Indian in the Twentieth Century',Lectures 1970-1971: American Indian Policy,Indiana Historical Society,"Indianapolis, IN",1971,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Toward-Freedom-The-American-Indian-in-the-Twentieth-Century,book chapter/contribution,record,listing,eng,,
Victor and Vanquished,Victor-and-Vanquished,,Henry Steele Commager (ed),item: 'Victor and Vanquished',The American Destiny Vol. I,The Danbury Press,CT,1975,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Victor-and-Vanquished,book chapter/contribution,record,listing,eng,,
Indians and the Energy Crisis,Indians-and-the-Energy-Crisis,,,item: 'Indians and the Energy Crisis',The Handbook of Indians of North America Vol. 2,Smithsonian Institution,"Washington, DC",1978-10-01,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Indians-and-the-Energy-Crisis,book chapter/contribution,record,listing,eng,,
One Third of the Nation’s Land,One-Third-of-the-Nation-s-Land,,,item: 'One Third of the Nation’s Land',Report to the President and Congress,,,1970-06-01,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",One-Third-of-the-Nation-s-Land,book chapter/contribution,record,listing,eng,,
Some Aspects of Twentieth-Century Federal Indian Policy,Some-Aspects-of-Twentieth-Century-Federal-Indian-Policy,,Jane F. Smith and Robert Kvasnicka (eds),item: 'Some Aspects of Twentieth-Century Federal Indian Policy',Indian-White Relations: A Persistent Paradox,Howard University Press,"Washington, DC",1976,,,,,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Some-Aspects-of-Twentieth-Century-Federal-Indian-Policy,book chapter/contribution,record,listing,eng,,
Reference Encyclopedia of the American Indian,Reference-Encyclopedia-of-the-American-Indian,https://catalog.sage.eou.edu/eg/opac/record/48515,,included,,B. Klein and Co.,,1967,"Note: AJ included in Who’s Who"" section of prominent Indians and non-Indians active in Indian affairs and writers of their history""","A catalog of information about Indians at the time, with sections on books, newspapers and periodicals, reservations, tribal councils, etc. Extensive biography and bibliography of AMJ in the “Who’s Who” section, page 431.",Native American—American Indian (general),,,,,,"Alvin Josephy, Jr. Annotaged Bibliography",Reference-Encyclopedia-of-the-American-Indian,biographical entry,record,url,eng,,